



順位,名前,段位,エメラルドPT,麻雀ファイトガール最終更新：2023/09/27 20:50時点のランキング
001位,タテナオリ・セン,総合スコア 522.8,りとえるしあ雀星Lv.8,個人スコア322.2,ファイトガールスコア200.6
002位,ナナツノ・ツミレ,総合スコア 501.0,DESSA雀星Lv.13,個人スコア321.3,ファイトガールスコア179.7
003位,アマト・テンシ,総合スコア 488.7,めろりぬ雀星Lv.42,個人スコア284.6,ファイトガールスコア204.1
004位,ゼツバミ・ヤオ,総合スコア 487.2,SKコマチ雀星★Lv.6,個人スコア292.2,ファイトガールスコア195.0
005位,パイン,総合スコア 487.1,せが雀星Lv.39,個人スコア315.8,ファイトガールスコア171.3
006位,クニノカミ・ムサシ,総合スコア 481.2,とみたける雀星Lv.34,個人スコア283.2,ファイトガールスコア198.0
007位,アンコク・ミツバ,総合スコア 479.6,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア195.3
008位,トイトイ,総合スコア 479.6,ぐでかご雀星Lv.67,個人スコア279.4,ファイトガールスコア200.2
009位,ヤワラギ・ヒヨリ,総合スコア 478.8,うおたみ雀星Lv.24,個人スコア299.2,ファイトガールスコア179.6
010位,藤崎詩織,総合スコア 469.4,ひでじ雀星Lv.75,個人スコア321.1,ファイトガールスコア148.3
個別ランキングヤワラギ・ヒヨリ
021位,ユライネル,雀星Lv.5,212.0
022位,STeiou,雀星Lv.10,211.8
023位,まっしろ,七段,211.8
024位,SG,雀星Lv.1,209.2
025位,ネコシ,三段,205.1
026位,クラド,雀星Lv.6,203.8
027位,りょうし,雀星Lv.5,199.2
028位,ポーラッカ,雀星Lv.29,197.7
029位,きょうそ,九段,197.6
030位,ねくすい,雀星Lv.10,196.9
031位,りがった,７級,196.2
032位,よー,四段,187.3
033位,こめだこ,四段,186.2
034位,ムラムラします,雀星Lv.5,182.3
035位,ののワ,五段,181.2
036位,ほしみっつ,十段,176.7
037位,E501,雀星Lv.42,176.3
038位,こうがひえん,雀星Lv.4,174.3
039位,モグファナ,三段,173.9
040位,はるか☆,八段,164.7
041位,カキたべお,九段,159.3
042位,L,雀星Lv.2,158.6
043位,アカシ,十段,156.4
044位,はーとあっぷ,八段,154.5
045位,ミブチヨ,七段,153.5
046位,ニセアカギ,３級,152.7
047位,ドラバクのタカ,八段,152.6
048位,EvanQP,初段,152.4
049位,とかちす,雀星Lv.7,150.9
050位,ユキネ,十段,150.1
個別ランキングゼツバミ・ヤオ
001位,SKコマチ,雀星★Lv.6,292.2
002位,じしゃく,雀星Lv.29,247.9
003位,kame7sk,九段,246.7
004位,ふぁびらす,雀星Lv.6,245.8
005位,TAO,雀星Lv.16,241.6
006位,キュウリ,十段,238.2
007位,Stella,初段,230.5
008位,♪♪♪♪♪,雀星Lv.2,226.8
009位,Tommy,雀星Lv.6,226.6
010位,ニジケチェン,雀星Lv.11,220.3
011位,ファイトガール,雀星Lv.1,218.4
012位,0084,雀星Lv.31,216.3
013位,JANOME,四段,215.7
014位,ミレイ,雀星Lv.10,215.0
015位,KA24DXX,十段,214.8
016位,ナナクモ,六段,214.3
017位,ヤマト,雀星Lv.1,207.9
018位,シュンヤ,二段,205.7
019位,じゃんぼりぃ,雀星Lv.11,200.1
020位,おてんきマップ,雀星Lv.1,198.4
021位,おかか,雀星Lv.3,196.9
022位,ぴーすけ,雀星Lv.17,195.5
023位,ぎるがめっしゅ,雀星Lv.2,194.1
024位,あさシン,雀星Lv.21,193.4
025位,ファイトガール,雀星Lv.6,191.4
026位,ノーホーラ,雀星Lv.12,188.0
027位,ひがしせつな,雀星Lv.14,187.2
028位,ファイトガール,八段,186.4
029位,GIN,雀星Lv.5,186.1
030位,teRu,雀星Lv.2,181.1
031位,みどぼんぐり,十段,180.5
032位,ココてぃん,六段,178.4
033位,かきごおりR,十段,174.6
034位,ころも,雀星Lv.7,173.3
035位,でんぱんくす,４級,172.8
036位,ポロロッカ,八段,170.3
037位,かいぬし,四段,168.2
038位,サツキ,十段,167.7
039位,スメラギ,雀星Lv.1,167.2
040位,kazusa,雀星Lv.7,167.1
041位,アサイ,五段,167.0
042位,こおろぎたべみ,５級,163.3
043位,ボッスィーオ,八段,161.3
044位,Sii,雀星Lv.2,160.3
045位,にたわか,四段,160.3
046位,ひいらぎ,八段,160.1
047位,おはララ,十段,160.0
048位,ありり,雀星Lv.52,159.4
049位,ゆうきやさい,雀星Lv.2,158.7
050位,TANAKA,二段,154.8
個別ランキングアンコク・ミツバ
001位,ミント,雀星Lv.24,284.3
002位,るん,雀星Lv.8,265.9
003位,さんつ,雀星Lv.2,258.8
004位,SARUSA,三段,248.8
005位,キョクセイ,雀星Lv.44,245.8
006位,にかろん,雀星Lv.9,236.6
007位,びゃっこや,雀星Lv.1,231.8
008位,ちょ～らじ,雀星Lv.7,229.8
009位,ファイトガール,雀星Lv.2,227.9
010位,ルカワチャン！,四段,226.2
011位,アトリ,雀星Lv.2,223.1
012位,かっち,十段,216.7
013位,きなこ,三段,215.6
014位,ちゃぺる,雀星Lv.4,213.9
015位,ちょめ,二段,212.5
016位,ほうおん,雀星Lv.23,208.9
017位,キョウ,八段,206.3
