★入賞条件/参考ボーダー★
プラチナトロフィー上位10位,173.2以上
ゴールドトロフィー上位10％,127.4以上
シルバートロフィー上位30％,97.4以上
ブロンズトロフィー上位70％,37.7以上

1305位,高宮 まり プロ,挑戦中
1407位,赤木 クロ プロ,挑戦中

順位,名前,段位,麻雀ファイトガールエメラルドPT 最終更新：2023/06/03 20:30時点のランキング
128位,タマQ,４級,135.5
129位,タイシン,五段,135.3
130位,てつまる,３級,135.2
131位,ゆーさん,二段,135.1
132位,O－JIYA,雀星Lv.10,135.0
133位,J2,三段,134.9
134位,KITTY,八段,134.8
135位,マコト,九段,134.7
136位,のだコトネ,九段,134.6
137位,GIN,雀星Lv.1,134.4
138位,ミリア,雀星Lv.15,134.3
139位,ぱね,八段,134.0
140位,かしわもち,八段,134.0
141位,ひびき,初段,133.9
142位,368℃,八段,133.5
143位,Hiro,三段,133.3
144位,GFセンコー,雀星Lv.12,133.2
145位,ヤマト,４級,133.1
146位,てつや,二段,133.0
147位,かぐらマニア,三段,133.0
148位,リューミア,九段,133.0
149位,じょん,二段,132.9
150位,れいな,初段,132.9
151位,フィオ,雀星Lv.1,132.8
152位,もも,五段,132.1
153位,にゃにゃ,九段,131.8
154位,かぶおー,二段,131.6
155位,Cherry,雀星Lv.21,131.3
156位,ファイトガール,九段,131.2
157位,みずと,雀星Lv.1,131.2
158位,くるまえび,二段,131.0
159位,タクトン,雀星Lv.4,131.0
160位,けん,１級,130.9
161位,ボンペペろうし,八段,130.9
162位,はるあき,十段,130.7
163位,リシュ,九段,130.5
164位,むらりぃん,二段,130.3
165位,うわぶれ,二段,130.3
166位,BWM,雀星Lv.17,130.3
167位,PHOENIX,雀星Lv.5,130.3
168位,らいは,七段,130.3
169位,SABACAN,七段,130.1
170位,MST,六段,130.1
171位,NORIX,六段,129.9
172位,ほのぼの,初段,129.8
173位,MOST,雀星Lv.2,129.8
174位,トロズ,三段,129.8
175位,NOEL,四段,129.8
176位,ファイトガール,六段,129.7
177位,RURIO,雀星Lv.6,129.6
178位,きょうか,八段,129.6
179位,はく,雀星Lv.9,129.5
180位,Ange,７級,129.2
181位,しろうさ☆ω☆,雀星Lv.4,129.2
182位,わるさー,三段,129.1
183位,ずん,四段,129.1
184位,ももはな,六段,129.0
185位,ないとう,八段,128.4
186位,ユウ・フォルグ,５級,128.4
187位,nao,三段,128.3
188位,みちめ,初段,128.2
189位,はやてん,雀星Lv.5,128.2
190位,*あお*,五段,128.2
191位,ゆきかぜ,三段,128.1
192位,アンカレ,８級,128.1
193位,ロック,雀星Lv.1,128.0
194位,よしぷー,雀星Lv.13,128.0
195位,ハママジ,二段,128.0
196位,ERM,初段,128.0
197位,7シャンテン,雀星Lv.29,127.7
198位,ファイトガール,初段,127.6
199位,くろの,雀星Lv.3,127.5
200位,SLCふー,七段,127.4
201位,ファイトガール,九段,127.2
202位,ぴーくん☆,雀星Lv.7,127.2
203位,まろまゆカイ,雀星Lv.6,127.0
204位,スリザリン,九段,127.0
205位,eyf,三段,126.8
206位,セツナ,五段,126.7
207位,ポロロッカ,雀星Lv.12,126.7
208位,ファイトガール,初段,126.6
209位,☆みなまい☆,七段,126.4
210位,たぬきち,初段,126.4
211位,wamotu,雀星Lv.6,126.4
212位,ヤマト,三段,126.3
213位,#もふ,四段,126.3
214位,そだっき,八段,126.1
215位,きすけ,七段,125.9
216位,ざく,四段,125.9
217位,サツキ,七段,125.8
218位,ayase,雀星Lv.1,125.8
219位,MIC・,六段,125.6
220位,ノカレ,四段,125.6
221位,SEEK,雀星Lv.1,125.5
222位,ぽかぽか,八段,125.5
223位,にくじん,雀星Lv.8,125.5
224位,むさしまる,１級,125.0
