★入賞条件/参考ボーダー★,,,,
プラチナトロフィー上位10位,204.3以上,,,
ゴールドトロフィー上位10％,148.1以上,,,
シルバートロフィー上位30％,107.3以上,,,
ブロンズトロフィー上位70％,33.5以上,,,
,,,,
順位,名前,段位,アニバーサリーPT,麻雀ファイトガール最終更新：2024/04/20 16:30時点のランキング
178位,エスエル,雀星Lv.64,158.8,
179位,なお,５級,158.6,
180位,ネコ,雀星Lv.27,158.5,
181位,MoTy,三段,158.4,
182位,ボナーラ・カル,七段,158.2,
183位,わっち,雀星Lv.11,158.2,
184位,KUNO,雀星Lv.14,158.1,
185位,☆キャリー☆,七段,157.9,
186位,ヒマなヤロ,雀星Lv.12,157.9,
187位,くぅなぎ♪,雀星Lv.2,157.8,
188位,ねこサンタ,雀星Lv.4,157.8,
189位,イノ,雀星Lv.1,157.7,
190位,777,雀星Lv.34,157.6,
191位,しもん,六段,157.6,
192位,ソダシ,雀星Lv.39,157.5,
193位,ファイトガール,雀星Lv.2,157.5,
194位,たけみつ,３級,157.5,
195位,まこも,雀星Lv.3,157.4,
196位,ソベリル,５級,157.4,
197位,ファイトガール,六段,157.2,
198位,マル！,雀星Lv.7,157.2,
199位,めい,三段,157,
200位,かつー,十段,156.9,
201位,HIS8,雀星Lv.10,156.9,
202位,ヌヌvsウィル,雀星Lv.8,156.6,
203位,キョウ,雀星Lv.4,156.6,
204位,メイプル,雀星Lv.1,156.5,
205位,マナはっぱ,１級,156.5,
206位,ぽろぴち,雀星Lv.33,156.4,
207位,ゆう,雀星Lv.14,156.4,
208位,FLOOR,雀星Lv.7,156.2,
209位,あやややややや,四段,156.2,
210位,Shark,三段,156.1,
211位,いすゞジェミニ,雀星Lv.82,156,
212位,リニア,雀星Lv.6,156,
213位,フリオーソ,雀星Lv.8,156,
214位,MKzty,雀星Lv.5,155.9,
215位,かさりょー,雀星Lv.1,155.9,
216位,TAK,雀星Lv.14,155.9,
217位,みゆき,雀星Lv.3,155.7,
218位,さびし,七段,155.7,
219位,とおりん,雀星Lv.9,155.7,
220位,むぅす,六段,155.7,
221位,あおばや,雀星Lv.1,155.6,
222位,べいすぼうる,雀星Lv.6,155.5,
223位,Tめばえρ,雀星Lv.47,155.3,
224位,くされねこ,３級,154.9,
225位,うどん,四段,154.9,
226位,EVE,雀星Lv.33,154.4,
227位,いのり,三段,154.3,
228位,ライデン,雀星Lv.50,154.2,
229位,なまとんかつ,初段,154.1,
230位,モツにこみ,雀星Lv.3,153.9,
231位,ぷりんだんす,雀星Lv.5,153.8,
232位,ちゃんなべすき,雀星Lv.10,153.7,
233位,リュウセイ,雀星Lv.1,153.7,
234位,ファイトガール,雀星Lv.84,153.6,
235位,ディスノミア,雀星Lv.9,153.2,
236位,メロンソーダ,雀星Lv.1,153.1,
237位,サザンカ,六段,153,
238位,IHAKEN★,雀星Lv.8,152.8,
239位,ウスタミコト,２級,152.8,
240位,まぁ,三段,152.7,
241位,うでまと,１級,152.7,
242位,マジダマ,雀星Lv.5,152.5,
243位,ゆるり,雀星★Lv.25,152.5,
244位,アイイロ,二段,152.3,
245位,みっくん,雀星Lv.3,152.3,
246位,hantak,七段,152.2,
247位,すくすく,雀星Lv.15,152.1,
248位,D,２級,152.1,
249位,かくま,雀星Lv.4,152,
250位,のびイヌ,雀星★★Lv.34,151.8,
251位,コウ,十段,151.7,
252位,みずのえ,五段,151.7,
253位,tahiti,雀星Lv.34,151.5,
254位,ろっこう,雀星Lv.6,151.4,
255位,ちゃらほり,８級,151.4,
256位,サツキ5173,雀星Lv.3,151.1,
257位,ふくよ,雀星Lv.77,151.1,
258位,ぷー,雀星Lv.40,151.1,
259位,アオイ,４級,151.1,
260位,マイン,五段,150.9,
261位,ちー,七段,150.8,
262位,ファイトガール,雀星Lv.8,150.8,
263位,Kagaku,四段,150.7,
264位,くろと,八段,150.7,
265位,あさひ,雀星Lv.7,150.6,
266位,あこるぅー,雀星Lv.1,150.3,
267位,hamajun,雀星Lv.6,150.3,
268位,シテ,九段,150.2,
269位,エルフェルト,雀星Lv.11,150,
270位,セルベリア,雀星Lv.21,149.9,
271位,カラタケ,雀星Lv.35,149.9,
272位,みこめっと,雀星Lv.9,149.9,
273位,シマ,雀星Lv.1,149.8,
274位,フルーティー,九段,149.7,
275位,つくよみ,雀星Lv.26,149.6,
276位,じろきち,七段,149.5,
277位,ファイトガール,雀星Lv.2,149.3,
278位,おてもやん,雀星Lv.12,149.1,
279位,ニワトリ,九段,149,
280位,よしみ,雀星Lv.13,149,
281位,SAKUYA,雀星Lv.6,148.7,
282位,ラスク,雀星★★Lv.17,148.6,
283位,きしだ,初段,148.5,
284位,あっきちゃん,二段,148.5,
285位,あたしんちはは,２級,148.4,
286位,J2,雀星Lv.8,148.4,
287位,ケイ,七段,148.4,
288位,ツムリ,雀星Lv.8,148.2,
289位,ラキ,六段,148.2,
290位,ローるっぺ,雀星Lv.7,148.1,
291位,こねこねこ,雀星Lv.6,148,
292位,Peter,雀星Lv.3,147.9,
