,,,,,
,,,,,
順位,名前,段位,KACPT,麻雀ファイトガール最終更新：2023/10/01 19:20時点のランキング,
001位,タテナオリ・セン,総合スコア 563.7,JAKE雀星Lv.5,個人スコア341.8,ファイトガールスコア221.9
002位,トイトイ,総合スコア 552.5,ぐでかご雀星Lv.68,個人スコア324.9,ファイトガールスコア227.6
003位,アマト・テンシ,総合スコア 550.5,しあるん雀星Lv.97,個人スコア320.3,ファイトガールスコア230.2
004位,パイン,総合スコア 542.0,せが雀星Lv.38,個人スコア334.0,ファイトガールスコア208.0
005位,ナナツノ・ツミレ,総合スコア 534.5,DESSA雀星Lv.14,個人スコア321.3,ファイトガールスコア213.2
006位,ヤワラギ・ヒヨリ,総合スコア 526.4,うおたみ雀星Lv.26,個人スコア316.6,ファイトガールスコア209.8
007位,ゼツバミ・ヤオ,総合スコア 522.9,SKコマチ雀星★Lv.7,個人スコア297.6,ファイトガールスコア225.3
008位,藤崎詩織,総合スコア 515.6,ひでじ雀星Lv.76,個人スコア351.5,ファイトガールスコア164.1
009位,クニノカミ・ムサシ,総合スコア 509.9,ぽむ十段,個人スコア287.7,ファイトガールスコア222.2
010位,アンコク・ミツバ,総合スコア 503.2,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア218.9
028位,アレイズ,雀星Lv.7,216.6,,
029位,わたてー,雀星Lv.1,215.8,,
030位,ムラムラします,雀星Lv.5,214.6,,
031位,クラド,雀星Lv.6,212.5,,
032位,SG,雀星Lv.1,209.9,,
033位,ポーラッカ,雀星Lv.30,209.8,,
034位,よー,五段,202.8,,
035位,きょうそ,十段,202.6,,
036位,りょうし,雀星Lv.5,199.2,,
037位,こめだこ,五段,198.1,,
038位,りがった,７級,196.2,,
039位,キサラ,九段,195.3,,
040位,ぬりかべ,十段,195,,
041位,ミブチヨ,七段,192.9,,
042位,ののワ,五段,192.5,,
043位,E501,雀星Lv.42,189,,
044位,はーとあっぷ,九段,186.5,,
045位,むらすず,七段,181.6,,
046位,ないとう,雀星Lv.12,177.6,,
047位,ほしみっつ,十段,176.7,,
048位,カキたべお,十段,176.4,,
049位,アキラSSヨロ,３級,174.6,,
050位,ファイトガール,雀星Lv.1,171.2,,
個別ランキングゼツバミ・ヤオ,,,,,
001位,SKコマチ,雀星★Lv.7,297.6,,
002位,ころも,雀星Lv.8,286.7,,
003位,ふぁびらす,雀星Lv.7,276.7,,
004位,ミレイ,雀星Lv.11,265,,
005位,kame7sk,九段,255.9,,
006位,Sii,雀星Lv.2,255.8,,
007位,JANOME,五段,255.5,,
008位,Stella,二段,255,,
009位,キュウリ,雀星Lv.1,251.3,,
010位,じしゃく,雀星Lv.29,247.9,,
011位,TAO,雀星Lv.17,247.6,,
012位,じゃんぼりぃ,雀星Lv.11,243.4,,
013位,やとガミ,二段,238.7,,
014位,スメラギ,雀星Lv.1,237.7,,
015位,ぎるがめっしゅ,雀星Lv.2,237.5,,
016位,♪♪♪♪♪,雀星Lv.2,236.7,,
017位,おてんきマップ,雀星Lv.2,232.9,,
018位,KA24DXX,十段,231.5,,
019位,ファイトガール,雀星Lv.2,230.9,,
020位,あさシン,雀星Lv.23,229.9,,
021位,ヤマト,雀星Lv.1,229.2,,
022位,Tommy,雀星Lv.6,227.8,,
023位,84,雀星Lv.32,226.7,,
024位,ルヴィア,二段,222.9,,
025位,ニジケチェン,雀星Lv.11,222.7,,
026位,ノーテンよしだ,雀星Lv.9,222.1,,
027位,ファイトガール,雀星Lv.7,220,,
028位,nonamae,十段,219,,
029位,とむ1147,雀星Lv.5,218.2,,
030位,ナナクモ,六段,214.3,,
031位,シュンヤ,二段,211.8,,
032位,アサイ,七段,211.6,,
033位,こおろぎたべみ,２級,211.5,,
034位,みりぃ,雀星Lv.1,210.8,,
035位,おかか,雀星Lv.5,210.7,,
036位,ファイトガール,八段,208.3,,
037位,ぴーすけ,雀星Lv.18,207.8,,
038位,でんぱんくす,２級,206.2,,
039位,ノーホーラ,雀星Lv.12,206,,
040位,ココてぃん,八段,203.5,,
041位,Dsato,雀星Lv.17,203,,
042位,GIN,雀星Lv.6,202.1,,
043位,ゆうきやさい,雀星Lv.2,201.2,,
